Component-Whole-Inv	12	15	The system as described above has its greatest application in an arrayed configuration of antenna elements.
Other	1	9	The child was carefully wrapped and bound into the cradle by means of a cord.
Instrument-Agency-Inv	1	7	The author of a keygen uses a disassembler to look at the raw assembly code.
Other	2	6	A misty ridge uprises from the surge.
Member-Collection	1	2	The student association is the voice of the undergraduate student population of the State University of New York at Buffalo.
Other	4	9	This is the sprawling complex that is Peru's largest producer of silver.
Cause-Effect-Inv	7	19	The current view is that the chronic inflammation in the distal part of the stomach caused by Helicobacter pylori infection results in an increased acid production from the non-infected upper corpus region of the stomach.
Entity-Destination	0	6	 People have been moving back into downtown.
Content-Container	1	6	The lawsonite was contained in a platinum crucible and the counter-weight was a plastic crucible with metal pieces.
Entity-Destination	12	20	The solute was placed inside a beaker and 5 mL of the solvent was pipetted into a 25 mL glass flask for each trial.
Member-Collection	2	6	The fifty essays collected in this volume testify to most of the prominent themes from Professor Quispel's scholarly career.
Other	1	5	Their composer has sunk into oblivion.
Message-Topic	6	9	The Pulitzer Committee issues an official citation explaining the reasons for the award.
Cause-Effect-Inv	1	8	The burst has been caused by water hammer pressure.
Instrument-Agency-Inv	2	6	Even commercial networks have moved into high-definition broadcast.
Message-Topic	4	10	It was a friendly call to remind them about the bill and make sure they have a copy of the invoice.
Instrument-Agency-Inv	1	7	Texas-born virtuoso finds harmony, sophistication in Appalachian instrument.
Product-Producer-Inv	1	10	The factory's products have included flower pots, Finnish rooster-whistles, pans, trays, tea pots, ash trays and air moisturisers.
Component-Whole-Inv	7	8	The girl showed a photo of apple tree blossom on a fruit tree in the Central Valley.
Member-Collection-Inv	19	22	They tried an assault of their own an hour later, with two columns of sixteen tanks backed by a battalion of Panzer grenadiers.
Entity-Origin	1	18	Their knowledge of the power and rank symbols of the Continental empires was gained from the numerous Germanic recruits in the Roman army, and from the Roman practice of enfeoffing various Germanic warrior groups with land in the imperial provinces.
Member-Collection-Inv	4	9	She soon had a stable of her own rescued hounds.
Cause-Effect	1	12	The singer, who performed three of the nominated songs, also caused a commotion on the red carpet.
Other	5	11	His intellectually engaging books and essays remain pertinent to illuminating contemporary history.
Member-Collection-Inv	6	9	Poor hygiene controls, reports of a brace of gamey grouse and what looked like a skinned fox all amounted to a pie that was unfit for human consumption.
Other	2	7	This sweet dress is made with a blend of cotton and silk, and the crochet flower necklace is the perfect accessory.
Cause-Effect	0	8	 Suicide is one of the leading causes of death among pre-adolescents and teens, and victims of bullying are at an increased risk for committing suicide.
Message-Topic	1	7	This article gives details on 2004 in music in the United Kingdom, including the official charts from that year.
Message-Topic	12	16	We have therefore taken the initiative to convene the first international open meeting dedicated solely to rural history.
Component-Whole	1	4	"The timer of the device automatically eliminates wasted ""standby power"" consumption by automatically turn off electronics plugged into the ""auto off"" outlets."
Message-Topic-Inv	5	8	Bob Parks made a similar offer in a phone call made earlier this week.
Cause-Effect-Inv	5	7	He had chest pains and headaches from mold in the bedrooms.
Product-Producer	22	24	The silver-haired author was not just laying India's politician saint to rest but healing a generations-old rift in the family of the country's founding father.
Entity-Destination	8	13	It describes a method for loading a horizontal stack of containers into a carton.
Component-Whole	16	19	The Foundation decided to repurpose the building in order to reduce wear and tear on the plumbing in the manor house by redirecting visitors during restoration projects and beyond.
Entity-Origin	8	12	The technology is available to produce and transmit electricity economically from OTEC systems.
Other	3	7	The Medicare buy-in plan ran into Senate resistance.
Component-Whole-Inv	1	5	The provinces are divided into counties (shahrestan), and subdivided into districts (bakhsh) and sub-districts (dehestan).
Cause-Effect	1	9	Financial stress is one of the main causes of divorce.
Instrument-Agency-Inv	0	11	 Newspapers swap content via widgets with the help of the newsgator service.
Cause-Effect	1	5	The women that caused the accident was on the cell phone and ran thru the intersection without pausing on the median.
Content-Container	1	8	The transmitter was discovered inside a bed settee suite on which he had been sitting.
Member-Collection-Inv	5	8	The Kerala backwaters are a chain of brackish lagoons and lakes lying parallel to the Arabian Sea coast of Kerala state in southern India.
Entity-Origin	4	8	A St. Paul College student was released from jail Wednesday night, after his arrest Tuesday in the alleged rape of another student on campus.
Cause-Effect-Inv	0	10	 Calluses are caused by improperly fitting shoes or by a skin abnormality.
Instrument-Agency-Inv	0	2	 Adults use drugs for this purpose.
Instrument-Agency-Inv	1	7	The councilor proposed assessing infinitival complements through elicitation.
Cause-Effect-Inv	12	18	"As in the popular movie ""Deep Impact"", the action of the Perseid meteor shower is caused by a comet, in this case periodic comet Swift-Tuttle."
Other	6	10	The following information appeared in the notes to consolidated financial statements of some corporate annual reports.
Other	9	10	HipHop appropriates the symbols of a consumer society: oversized diamond colliers are worn.
Cause-Effect-Inv	1	5	The radiation from the atomic bomb explosion is a typical acute radiation.
Component-Whole-Inv	2	3	The ride-on boat tiller was developed by engineers Arnold S. Juliano and Dr. Eulito U. Bautista.
Cause-Effect-Inv	2	7	A neoplastic recurrence arose from an extensive radiation induced ulceration.
Cause-Effect-Inv	9	11	He has a tattoo on his right arm and scars from stitches on his right elbow.
Member-Collection-Inv	14	16	Whether your home includes a charm of finches, a sute of bloodhounds, or a knob of toads, I think it's important to keep the numbers within reason.
Message-Topic	6	8	Furthermore, these INGO practitioners constructed a discourse around participation which distorted the real significance of participation.
Other	3	4	Kelvin bought a silver ring which he was so happy with and he keeps wearing it now even though its abit too big haha.
Message-Topic	8	12	Scientists are in the midst of an ongoing debate about the relative value of openness and collaboration in their profession.
Content-Container	7	17	This cut blue and white striped cotton dress with red bands on the bodice was in a trunk of vintage Barbie clothing.
Other	2	7	My major disagreement with Lyons concerns the causal part of his theory.
Entity-Destination	2	8	Both his feet have been moving into the ball.
Content-Container	17	22	The scissors were in a small plastic soap container, next to a bar of soap, and the box cutters were in a box next to a bottle of after-shave lotion.
Member-Collection-Inv	2	5	A great wing of fluorite dragons, the greatest concentration of the rather solitary dragons ever known, joined the desperate battle with the blues and silvers against Chaos.
Entity-Destination	3	7	As a control, cowpea was sealed in double bags without fumigant.
Other	4	11	The infectious bacterial disease brucellosis has been found in a beef cow in eastern Idaho.
Other	61	66	As the Anglo-Norman force sustained but little loss in this battle, their archers at the onset showered a hail of arrows upon the Irish host who were not protected with mail armour, and shot them down in hundreds before they could get to close quarters; and then the charge of the heavy Anglo-Norman cavalry of mail-clad knights, completed the havoc and rout of the undisciplined Gaelic hosts.
Entity-Origin	17	22	The first incarnation of this series was set in the 1940s, during World War II, when the princess left her native paradise island (where Amazon women had lived for centuries) to help the U.S. foil the Nazis.
Message-Topic	1	5	Cieply's story makes a compelling point about modern-day studio economics.
Entity-Destination	3	6	We poured the milk into the pumpkin mixture.
Entity-Origin	8	14	Lawyers in Detroit also worked overtime as several lawsuits ensued from angry and injured fans.
Cause-Effect-Inv	3	11	The continuing Nigerian outbreak is the biggest ever caused by the vaccine.
Member-Collection-Inv	9	12	Our mercenary Army has now degenerated into a Godless cabal of mindless killers not unlike the Soviets that were butchering civilians in Afghanistan (exactly as sadistically as we have).
Cause-Effect-Inv	1	8	The fire inside WTC was caused by exploding fuel.
Entity-Destination	1	12	The epithelium from the knockout mouse bladder is migrating into the transplanted matrix.
Entity-Origin	1	6	The staff was removed from his position.
Cause-Effect-Inv	1	5	The suffering caused by the terrorists is the real torture.
Message-Topic-Inv	1	9	This love of nature's gift has been reflected in artworks dating back more than a thousand years.
Product-Producer-Inv	1	9	The court decided the objection by making the instalment order as sought.
Cause-Effect-Inv	5	10	In a poetic twist, the tsunami triggered by the rock band forced many American jazz and blues singers to seek work in the United Kingdom, which is where Anderson found a receptive audience in 1965.
Cause-Effect-Inv	0	6	 Leakage and fire caused due to corrosion of bypass piping for recirculation gas at a fuel oil desulphurization unit.
Instrument-Agency-Inv	16	22	A team of students from Virginia Tech University have created a vehicle that allows vision impaired drivers to take control of the wheel.
Member-Collection-Inv	6	9	BMW's iDrive 4.0 brings in a horde of new features.
Cause-Effect	2	8	The metal ball makes a ding ding ding noise when it swings back and hits the metal body of the lamp.
Member-Collection-Inv	4	6	It consists of an ensemble of ladies who are highly qualified to play various Arabic musical instruments.
Product-Producer	11	16	It underscores the need for continued surveillance of nicotine delivery in products created by an unregulated industry.
Other	17	20	Unlike other fish, grunion come out of the water completely to lay their eggs in the wet sand of the beach.
Entity-Destination	2	7	A large marble was dropped into the bowl.
Cause-Effect-Inv	4	10	Historical view of the damage caused by the 1693 Catania earthquake and the reconstruction activities.
Cause-Effect-Inv	33	39	AI requested that the perpetrators be prosecuted to the fullest extent of the law, that adequate compensation be provided to the victims and that senior government and police officials offer apologies for the suffering caused by the responsible police officers.
Other	1	8	The findings have been published in a special section of the academic journal Archives of Sexual Behavior.
Entity-Origin	2	19	An Amtrak passenger who alarmed fellow passengers by talking about terrorist threats on a cellphone was pulled from the train and is being held in Colorado.
Component-Whole	1	4	The introduction in the book is a summary of what is in the text.
Entity-Origin	2	9	The second simulation was started from the uncomplexed x-ray structure after insertion of the ligand into the binding site.
Instrument-Agency-Inv	1	7	This user plays games on a portable console.
Entity-Origin	3	7	The ambitious Eurasia exhibition arose from an idea by Achille Bonito Oliva.
Instrument-Agency-Inv	1	17	The driver of the cement truck cleaned the loading chute on his truck with a truck-mounted water hose and began to pull away.
Cause-Effect-Inv	31	38	The Marshall Plan also provided a way of gaining public acceptance in Europe for the New Deal format that the United States had successfully used before the war to end the recession triggered by the 1929 Wall Street crash.
Member-Collection-Inv	10	13	In the corner there are several gate captains and a legion of Wu crossbowmen.
Cause-Effect-Inv	5	11	"Once they grow there, the swelling and inflammation caused by the infection closes off the sac, causing it not to ""shed"" bacteria, and protecting the bacteria inside from antibiotics and your body's own immune cells."
Cause-Effect-Inv	5	10	Guitars are played acoustically; the tone is produced by the vibration of the strings which is amplified by the body of the guitar, which acts as a large hollow resonating chamber, or they may rely on an amplifier that can electronically manipulate tone.
Other	16	20	Flowers are reborn from the soil and the climate begins to warm, all set to a score improvised by an orchestra of birds.
Entity-Destination	3	6	He posted the answers to the website.
Cause-Effect-Inv	15	19	Arcane Subtlety reduced the threat caused by Polymorph by 40% at max rank, though the threat caused by the spell is minimal.
Instrument-Agency-Inv	1	6	A programmer uses a high level language to implement its algorithms.
Cause-Effect-Inv	21	26	The beautiful hydrothermal features in the park (geysers, hot springs, mud pots, etc.), the uplift and subsidence, and many of the earthquakes are caused by the movements of hydrothermal and/or magmatic fluids.
Content-Container	10	14	Flowers are nice, but don't last very long and the fruit in a fruit basket often goes bad.
Component-Whole	5	7	He decided to pad the heel of shoes with a shock absorbing insole or heel pad.
Instrument-Agency-Inv	10	12	From the Scots (Lingle) and French (Ligneul, Lignoul), comes a shoemaker's sewing thread, waxed and bristled (See Waxed End).
Entity-Destination	1	8	One tablet per quart was dropped into a canteen and made the water safe to drink.
Content-Container	2	11	The tiny image of the Renaissance master is hidden in a carafe of wine in his 1597 oil painting Bacchus, one of his most acclaimed works.
Content-Container	15	21	Then I swept up the dust, which looked like sawdust, and put it in a plastic container, which was in a cabinet under the granite counter top.
Entity-Origin	5	11	In the former method the acetone was distilled from an allraline solution after the excess oxidant had been destroyed with sodium.
Message-Topic	3	6	In this comprehensive guide, over 850 roses are described, illustrated, and arranged by group.
Entity-Origin-Inv	0	1	 Chestnut flour was more common than wheat flour in the Italian Alps a century ago.
Product-Producer-Inv	4	5	For us the term artists' book simply means a book made by an artist; a book made as a work of art rather than as a literary artifact.
Other	5	6	My parents bought her a silver necklace almost identical to the one pictured.
Cause-Effect	1	10	Forward motion of the vehicle through the air caused a suction on the road draft tube.
Other	6	8	Paul Friedrich guides us through a babel of words, and worlds of the imagination ranging from his translations from five languages(notably the Russian of his literary studies) to the poetry of the Indian Mexico of his anthropological field work to America writ large -- super highways, a Vermont farm, father and child.
Component-Whole	13	16	The picture below shows a view chapel and west range of the inner courtyard of the castle.
Member-Collection-Inv	5	7	I was attacked by a flock of pigeons today.
Other	1	9	That decision was also the subject of an unsuccessful legal challenge.
Entity-Origin	6	13	The exit temperature of an effluent stream from the low temperature steam reforming reactor is not higher than 600 C.
Entity-Destination	1	5	Individual investors moved into the property.
Message-Topic	4	12	One of the trickiest questions to answer in an interview relates to salary.
Message-Topic-Inv	1	8	This tradition has been narrated in prophet's early biographies.
Instrument-Agency-Inv	1	12	A thief who tried to steal the truck broke the igenition with screwdriver.
Member-Collection-Inv	9	12	After the Marian reforms the Legion was notionally a unit of heavy infantrymen armed with just sword and pilum, but even so it was normally fielded with attached auxiliary skirmishers and missile troops, and incorporated a small cavalry unit.
Entity-Destination	3	6	The prosecutors carried guns into the court room.
Cause-Effect	1	5	The malfunctions on Monday caused delays for patrons waiting to check out or renew books at the branches, and impeded access to personal accounts that allow users to renew or hold books online.
Entity-Destination	0	7	 Chemical weapons have been dropped into the lake.
Entity-Origin	2	8	Many other dwarves also hailed from this infamous clan.
Component-Whole	1	4	The nose of a bloodhound is so good that evidence found by a bloodhound will hold up in matters involving the United States Supreme Court.
Product-Producer-Inv	8	12	Global digital music sales grow as the music industry develops new business models.
Product-Producer	1	6	The devices were manufactured at the factory in Beaverton well into the 1980s, when production was shifted elsewhere and portions of the factory sold.
Member-Collection-Inv	27	31	An expensive uniform and a strict ballot rendered it somewhat too exclusive in its character, but in the end it answered its purpose by becoming practically a muster of the National leaders of the present and the future.
Other	1	4	The train ride from station to station is approximate 30 minutes.
Entity-Origin	4	7	The archaeological site yields relics from long-forgotten culture.
Other	1	4	A maze of interlocking jurisdictions and levels of government confronts average citizens in trying to solve even the simplest of problems.
Cause-Effect	1	12	Water damage from roof leaks, plumbing leaks or flooding lead to the growth of molds.
Other	9	11	Warm weather is here, and with it comes the scourge of mosquitoes.
Other	1	4	The formation of struvite stones is associated with the presence of urea-splitting bacteria, most commonly Proteus mirabilis (but also Klebsiella, Serratia, Providencia species).
Other	36	41	Our army was successfully engaged during the day with strong rearguards of all arms on the Petit Morin River, thereby materially assisting the progress of the French armies on our right and left, against whom the enemy was making his greatest efforts.
Member-Collection-Inv	18	21	So when William did cross the Boyne on July 1st 1690, he had an army consisting of the riffraff of Europe's mercenaries.
Entity-Origin	2	11	The overall geometry of the heart was extracted from the intensity data.
Cause-Effect-Inv	1	4	The discomfort from the injury was now precluding him from his occupation which involved prolonged procedures in the standing position.
Member-Collection-Inv	13	15	Flames of purple, pink, yellow and blue dance in the air as a coven of sorcerers call forth energies from within the Empyrean.
Member-Collection-Inv	7	10	Out of the early morning haze, a convoy of articulated lorries pulls into the Gashouder square.
Entity-Destination	4	6	This book has transported readers into ancient times.
Other	7	9	We always try to maintain the best environment for programmers, starting with good salary and conducive working environment.
Content-Container	7	13	Indeed, a green or black basalt heart scarab was found put inside the body in its place.
Entity-Origin	2	9	The first motorcycle was manufactured in a small wood building with only one room.
Cause-Effect	1	8	The water pushed to the coast resulted in tides as much as three feet above normal, with waves of 5-10 feet atop these tides.
Message-Topic	1	6	The chapters in this book investigate issues and communities.
Entity-Destination	4	7	He rescheduled the birthday party to the next day.
Product-Producer-Inv	1	8	The bacterial aerosol was generated from an up-draft nebulizer.
Entity-Destination	0	4	 People have travelled into space, but not the deep ocean.
Entity-Origin	30	35	For those of you who are unsure what Afrikaans is, it is a language which originated from the Dutch which were the first settlers in South Africa and the unique language was evolved from other settlers from Malaya, Indonesia, Madagascar and West Africa.
Product-Producer-Inv	0	1	 Beaver dams are created as a protection against predators, such as coyotes, wolves and bears, and to provide easy access to food during winter.
Message-Topic	5	10	So, the theme of the play has to do with religion.
Message-Topic	4	8	There has been intense debate over the circles' origins.
Component-Whole-Inv	7	8	I have recently developed creases in my ear lobes.
Entity-Origin-Inv	3	12	Manufacturing extra neutral alcohol which is the basic ingredient used for making liquor, the commodity was largely used by companies making Indian Made Foreign Liquor (IMFL).
Instrument-Agency-Inv	2	10	Initially the user calibrates the microscope with a fluorescence lifetime standard positioned at the sample plane.
Component-Whole-Inv	1	5	The province comprises the southeastern part of Panay Island with island-province of Guimaras just across its coast.
Cause-Effect	1	8	The charge is the source of an electric field, which carries energy-the electrostatic self-energy.
Cause-Effect-Inv	1	8	The tardiness however has been caused by the arrival of my old man; who in true Bloodworth fashion has had me walking everywhere.
Content-Container	1	5	The key was in a chest.
Entity-Origin	1	7	The residue was distilled from an Arbuzov flask.
Member-Collection-Inv	13	16	As the Gondorians moved forward the evil force started to withdraw, unleashing a rain of deadly arrows into the heavily armoured Gondorians.
Message-Topic	5	9	It is a medieval Latin manuscript relating the early history of the Isle of Man.
Cause-Effect-Inv	7	10	The river had now turned into full flood after the deluge of rain a few days ago.
Component-Whole-Inv	17	20	He stopped rowing when the boat was opposite to the paddle wheel of the steamer, and the steamer stopped her engine at the same time.
Instrument-Agency-Inv	3	10	This is the umbrella that peels the potatoes with a pencil and makes a pink ink with the peelings stood up.
Entity-Origin-Inv	2	3	This American-style wheat ale is a light, unfiltered brew with a citrus aroma andflavor imparted by a late addition of lemon grass.
Entity-Origin	1	4	The car left the plant.
Component-Whole-Inv	10	13	Our experience extends to 15 years continued promotion of this archipelago of nine islands.
Content-Container	11	18	To separate the solids at the end of the experiment, the clay was contained in a semi- permeable membrane tubing.
Entity-Destination	4	6	This machine is blowing sand into molds.
Other	1	10	The cultivation consisted of plowing the crop with a double-shovel plow.
Message-Topic	2	5	The final chapter offers a theological survey of the use of the formula.
Cause-Effect-Inv	3	8	She mentioned the scandal caused by a BBC documentary on the treatment of children in a special-needs home and asked how the state had responded to these.
Component-Whole	4	7	Isolated fractures of the shaft of the ulna, without other fractures, often result when the forearm is raised to fend off a blow.
Other	4	6	We have placed the candidates into roles.
Other	4	6	Frequent agitations throw academic life into disarray.
Product-Producer-Inv	5	6	Still other examples of the potter's ceramics are clad in slinky assortments of tassels and beads.
Component-Whole	1	4	The nasal cavity of birds contains turbinates (Bang 1971), cartilaginous structures that are thought to have as one of their functions water recovery from air.
Other	5	8	Thus, in simple words, a tendon attaches a muscle to a bone.
Other	0	4	 Positions were denoted by black dots along the tracks, the adjacent numbers indicating the day of the month.
Cause-Effect-Inv	7	12	The World Health Organization(WHO) found that the radiation release from the Chernobyl accident was 200 times that of the Hiroshima and Nagasaki.
Content-Container-Inv	4	8	My dog ate a cellophane bag full of dog treats on Tuesday.
Component-Whole-Inv	1	7	The owl held the mouse in its claw.
Entity-Destination	12	22	This is how grain was delivered to the wooden grain bins and hay was put inside the upper part of the rock barn.
Product-Producer-Inv	7	11	Police foiled an attempt to kill an artist who drew a cartoon depicting the Prophet Muhammad that sparked outrage in the Muslim world.
